outcome,exposure,method,nsnp,b,se,pval
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),IVW-FE,258,-0.1369731063517205,0.004581834450873198,2.297952697662642e-196
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),IVW-RE,258,-0.1369731063517205,0.012103113695218543,1.0788776607217703e-29
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),MR Egger,258,-0.15878079351261756,0.019253026239819573,8.566824110335402e-15
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),MR-PRESSO (Corrected),262,-0.1195365398944014,0.00855330545662483,1.941017662275634e-32
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),MR-PRESSO (Raw),262,-0.13230445547113467,0.012090267156390753,3.4583469295864855e-23
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),MR-RAPS,258,-0.12459524205420115,0.010397671224876134,4.362725447248899e-33
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),Weighted median,258,-0.11730034780556799,0.010518889816708147,7.048849680005279e-29
"25-hydroxyvitamin D (Revez 2020, UKB)",Total Cholesterol (UK Biobank),Weighted mode,258,-0.1223848100802497,0.08291851683755466,0.14117749795647352
"Fractures (Dönertaş 2021, UKB)",Total Cholesterol (UK Biobank),IVW-FE,264,2.1567367361035678e-4,6.233634206410525e-4,0.7293548550670503
"Fractures (Dönertaş 2021, UKB)",Total Cholesterol (UK Biobank),IVW-RE,264,2.1567367361035678e-4,6.512378691045357e-4,0.7405123349545324
"Fractures (Dönertaş 2021, UKB)",Total Cholesterol (UK Biobank),MR Egger,264,-6.373144531579266e-4,0.001041593868799513,0.5411579099314734
"Fractures (Dönertaş 2021, UKB)",Total Cholesterol (UK Biobank),MR-RAPS,264,2.6359664296812156e-4,6.728251292014162e-4,0.6952238337623088
"Fractures (Dönertaş 2021, UKB)",Total Cholesterol (UK Biobank),Weighted median,264,-3.1494457472270345e-4,0.0010768687034018573,0.7699324161225689
"Fractures (Dönertaş 2021, UKB)",Total Cholesterol (UK Biobank),Weighted mode,264,-1.155552819923863e-4,0.006757556512377085,0.9863696783453835
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),IVW-FE,257,-0.05089102803513773,0.004342960081156794,1.0301464753857887e-31
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),IVW-RE,257,-0.05089102803513773,0.013393880980525888,1.449456348954205e-4
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),MR Egger,257,-0.03626554097458585,0.02130419834258085,0.08992304760115813
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),MR-PRESSO (Corrected),261,-0.04848160306931207,0.008871446661770864,1.2770119497946038e-7
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),MR-PRESSO (Raw),261,-0.05195534948826815,0.013324233730636592,1.2285110404021882e-4
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),MR-RAPS,257,-0.04136448032467233,0.011371906723896319,2.7537522560112807e-4
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),Weighted median,257,-0.025798145006716084,0.009576180980460137,0.0070602079266582655
"Heel BMD (Morris 2019, UKB)",Total Cholesterol (UK Biobank),Weighted mode,257,-0.026623560291327016,0.06619137008600107,0.6878570011894876
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),IVW-FE,280,-0.06299703015130478,0.028662812923364603,0.027958636140056677
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),IVW-RE,280,-0.06299703015130478,0.03264382423738748,0.05362790950222304
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR Egger,280,-0.07000812848308305,0.05330860896423318,0.1901778374998679
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-PRESSO (Corrected),285,NA,NA,NA
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-PRESSO (Raw),285,-0.06637647264767674,0.03253419719923457,0.042254690584327605
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),MR-RAPS,280,-0.06724278107387893,0.033565053024239164,0.045138992534266134
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Weighted median,280,-0.0050646777503867285,0.0511194613627409,0.9210784556787128
Vitamin D (MGI-BioVU LabWAS),Total Cholesterol (UK Biobank),Weighted mode,280,-0.011616520514354276,0.4641354328509416,0.9800502826571621
