outcome,exposure,gene,method,n_snps,estimate,se,ci_lo,ci_hi,p_value,Q,Q_p,egger_int_p
Femoral neck BMD (Zheng 2015),LDL-C,HMGCR,IVW-RE,32,-0.00757,0.05755,-0.12037,0.10524,0.895,20.49,0.9248,NA
Femoral neck BMD (Zheng 2015),LDL-C,HMGCR,Weighted median,32,-0.01988,0.17211,-0.35723,0.31746,0.908,NA,NA,NA
Femoral neck BMD (Zheng 2015),LDL-C,HMGCR,MR-Egger,32,-0.00745,0.12123,-0.24506,0.23016,0.951,NA,NA,0.9992
Femoral neck BMD (Zheng 2015),LDL-C,PCSK9,IVW-RE,2,0.17574,0.15817,-0.13427,0.48576,0.267,0.08,0.7835,NA
Femoral neck BMD (Zheng 2015),LDL-C,PCSK9,Weighted median,2,0.14852,0.25149,-0.3444,0.64143,0.555,NA,NA,NA
Femoral neck BMD (Zheng 2015),Total cholesterol,HMGCR,IVW-RE,16,-0.01222,0.08697,-0.18267,0.15824,0.888,9.12,0.8712,NA
Femoral neck BMD (Zheng 2015),Total cholesterol,HMGCR,Weighted median,16,-0.02004,0.4715,-0.94419,0.9041,0.966,NA,NA,NA
Femoral neck BMD (Zheng 2015),Total cholesterol,HMGCR,MR-Egger,16,-0.08061,0.14712,-0.36897,0.20775,0.584,NA,NA,0.6062
Femoral neck BMD (Zheng 2015),Total cholesterol,PCSK9,Wald ratio,1,0.15164,0.20014,-0.24063,0.54391,0.449,NA,NA,NA
Fractures (Donertas 2021),LDL-C,HMGCR,IVW-RE,43,-0.00265,0.0022,-0.00695,0.00165,0.228,52,0.1386,NA
Fractures (Donertas 2021),LDL-C,HMGCR,Weighted median,43,-0.00375,0.00609,-0.01569,0.00818,0.538,NA,NA,NA
Fractures (Donertas 2021),LDL-C,HMGCR,MR-Egger,43,0.00703,0.00526,-0.00328,0.01734,0.182,NA,NA,0.0661
Fractures (Donertas 2021),LDL-C,NPC1L1,Wald ratio,1,8.9e-4,0.0096,-0.01793,0.01971,0.926,NA,NA,NA
Fractures (Donertas 2021),LDL-C,PCSK9,IVW-RE,3,-8.1e-4,0.00264,-0.00599,0.00437,0.76,0.44,0.8031,NA
Fractures (Donertas 2021),LDL-C,PCSK9,Weighted median,3,1e-4,0.00776,-0.01512,0.01532,0.99,NA,NA,NA
Fractures (Donertas 2021),LDL-C,PCSK9,MR-Egger,3,7.5e-4,1e-5,7.3e-4,7.7e-4,0,NA,NA,0.0028
Fractures (Donertas 2021),Total cholesterol,HMGCR,IVW-RE,26,-8.9e-4,0.00277,-0.00632,0.00453,0.747,32.08,0.1557,NA
Fractures (Donertas 2021),Total cholesterol,HMGCR,Weighted median,26,0.00352,0.00843,-0.01299,0.02004,0.676,NA,NA,NA
