exposure,ad,model,method,n_snp,b_ad,se_ad,p_ad,Q_p,egger_int_p,n_outlier,presso_global_p,b_life,se_life,p_life,b_SH,se_SH,trusted,reason,b_uncorr,b_corr,se_corr,ci_lo,ci_hi,p_corr,attenuation,verdict
Weight,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,470,-0.1670406138650672,0.03209981963149984,1.9526814179539486e-7,7.567540646884241e-14,0.3796867487252332,NA,NA,0.10378329926306017,0.01010350624550764,9.422253047509556e-25,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.1670406138650672,-0.06910692733494879,0.034268052765286265,-0.13627231075490986,-0.0019415439149877145,0.04373126276783386,0.586286677617383,ROBUST — survives correction
Weight,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,397,-0.16432366674140522,0.06475367353413622,0.01115921110246489,2.2250185655668458e-17,0.1850133082927398,NA,NA,0.10378329926306017,0.01010350624550764,9.422253047509556e-25,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.16432366674140522,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
BMI,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,429,-0.12353077675826801,0.03298075520588139,1.8000531605059456e-4,1.798675961287528e-20,0.6788528354467379,NA,NA,0.1363864210450308,0.01111132663230943,1.2409538531231062e-34,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.12353077675826801,0.005168398354031711,0.03590545875373748,-0.06520630080329376,0.07554309751135718,0.8855441846690496,0.958161047071326,ABOLISHED — signal explained by survival bias
BMI,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,371,-0.24170913134120414,0.16250702626299593,0.13691540098454857,0,0.2341955518426594,NA,NA,0.1363864210450308,0.01111132663230943,1.2409538531231062e-34,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.24170913134120414,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Fat Mass,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,414,-0.17024778732580156,0.031981859924205346,1.019233451799298e-7,7.518234081412326e-11,0.4158793623820076,NA,NA,0.12668127608734225,0.01184978991536155,1.126489265128844e-26,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.17024778732580156,-0.05070673910640866,0.035026359403776616,-0.11935840353781083,0.017944925324993505,0.1477083302894795,0.7021591886573442,ABOLISHED — signal explained by survival bias
Fat Mass,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,362,-0.33684465502830657,0.17085229699694535,0.04866045888323481,0,0.2773490994787251,NA,NA,0.12668127608734225,0.01184978991536155,1.126489265128844e-26,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.33684465502830657,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Lean Mass,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,608,-0.10085106880495495,0.021905149098540067,4.144740636207949e-6,2.1415640382818238e-14,0.675561867289228,NA,NA,NA,NA,NA,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.10085106880495495,NA,NA,NA,NA,NA,NA,no E→lifespan — check Step 1 join key
Lean Mass,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,528,-0.12990889254476581,0.03912440900280861,8.988686915864322e-4,5.668096306776647e-6,0.397122935339811,NA,NA,NA,NA,NA,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.12990889254476581,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
Type 2 Diabetes,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,115,-0.005084210121616499,0.018277633750250325,0.7808851915234931,1.3344015364824988e-14,0.5668978701043212,NA,NA,0.02725422065327461,0.00494432763891673,3.54336043373549e-8,-0.9436362808421158,0.07014933427894021,TRUE,validated in the smoking pipeline,-0.005084210121616499,0.020633861292889938,0.01896036356087529,-0.016528451286425633,0.05779617387220551,0.27647903912308286,-3.058420246079347,inconclusive
Type 2 Diabetes,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,108,-0.01016655294962975,0.027743936192077625,0.7140350293840875,2.5112655156309815e-5,0.26779336130058634,NA,NA,0.02725422065327461,0.00494432763891673,3.54336043373549e-8,NA,NA,FALSE,"not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs",-0.01016655294962975,NA,NA,NA,NA,NA,NA,"NOT CORRECTED — not identified: raw r = -0.0008, sign agreement 0.499 on the 2250 fitted SNPs"
