exposure,ad,model,method,n_snp,b_ad,se_ad,p_ad,Q_p,egger_int_p,n_outlier,presso_global_p
Weight,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,470,-0.1670406138650672,0.03209981963149984,1.9526814179539486e-7,7.567540646884241e-14,0.3796867487252332,NA,NA
Weight,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,397,-0.16432366674140522,0.06475367353413622,0.01115921110246489,2.2250185655668458e-17,0.1850133082927398,NA,NA
BMI,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,429,-0.12353077675826801,0.03298075520588139,1.8000531605059456e-4,1.798675961287528e-20,0.6788528354467379,NA,NA
BMI,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,371,-0.24170913134120414,0.16250702626299593,0.13691540098454857,0,0.2341955518426594,NA,NA
Fat Mass,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,414,-0.17024778732580156,0.031981859924205346,1.019233451799298e-7,7.518234081412326e-11,0.4158793623820076,NA,NA
Fat Mass,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,362,-0.33684465502830657,0.17085229699694535,0.04866045888323481,0,0.2773490994787251,NA,NA
Lean Mass,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,608,-0.10085106880495495,0.021905149098540067,4.144740636207949e-6,2.1415640382818238e-14,0.675561867289228,NA,NA
Lean Mass,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,528,-0.12990889254476581,0.03912440900280861,8.988686915864322e-4,5.668096306776647e-6,0.397122935339811,NA,NA
Type 2 Diabetes,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,115,-0.005084210121616499,0.018277633750250325,0.7808851915234931,1.3344015364824988e-14,0.5668978701043212,NA,NA
Type 2 Diabetes,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,108,-0.01016655294962975,0.027743936192077625,0.7140350293840875,2.5112655156309815e-5,0.26779336130058634,NA,NA
HbA1C,AD — Bellenguez 2022 (proxy-incl.),IVW-FE,IVW-FE,11,0.08139799448166646,0.07969713917483699,0.3070926780583418,0.7250192496959584,0.20816872034871992,NA,NA
HbA1C,AD — Kunkle 2019 IGAP (clinical),IVW-FE,IVW-FE,11,0.2609248544870845,0.14378577500261577,0.06957343793977258,0.8379080449219782,0.7818841702464536,NA,NA
Blood Glucose,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,113,-0.0021542810128426493,0.048144656898734,0.9643097644643182,5.619228793219751e-18,0.7260078297386929,NA,NA
Blood Glucose,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,98,0.04271287842178528,0.0733066332916675,0.5601218798604117,3.63724861044576e-6,0.1169751379595403,NA,NA
Fasting Blood Glucose,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,21,0.023950161314270475,0.0853065829498886,0.7788991153661429,0.0015941488129081304,0.4879313664490018,NA,NA
Fasting Blood Glucose,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,18,0.1408564890317999,0.21966154992647147,0.521364645301204,4.967237275897968e-6,0.4948133974818745,NA,NA
Peak Blood Glucose,AD — Bellenguez 2022 (proxy-incl.),IVW-FE,IVW-FE,14,0.08591922084940065,0.03640374170840635,0.018266289164461536,0.0982548839063042,0.6284236484651035,NA,NA
Peak Blood Glucose,AD — Kunkle 2019 IGAP (clinical),IVW-FE,IVW-FE,11,0.054425626916812964,0.07178118380487938,0.44832181056911735,0.6897007891052096,0.9141466668719194,NA,NA
HDL Cholesterol,AD — Bellenguez 2022 (proxy-incl.),MR-PRESSO,MR-PRESSO (outlier-corrected),314,0.10037891787482413,0.024434627120887727,5.151981375899253e-5,5.630172691637023e-64,0.013660885875747012,13,0.001
HDL Cholesterol,AD — Kunkle 2019 IGAP (clinical),MR-PRESSO,MR-PRESSO (outlier-corrected),291,-0.03362330492840126,0.04870158498679104,0.4905119711688226,0,0.3927805346534079,7,0.001
LDL Cholesterol,AD — Bellenguez 2022 (proxy-incl.),MR-PRESSO,MR-PRESSO (outlier-corrected),161,-0.07531822426724177,0.033906078826560826,0.027813348526466056,6.655968313876205e-29,0.26137393834283373,9,0.001
LDL Cholesterol,AD — Kunkle 2019 IGAP (clinical),MR-PRESSO,MR-PRESSO (outlier-corrected),149,0.022892098093212215,0.06663320892295997,0.7317123463417086,3.553919143912153e-156,0.001432464956322773,12,0.001
Cardiovascular Disease,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,213,-0.5662523773150457,0.11599458762451381,1.0516782519040412e-6,6.443167546274114e-18,0.9699675490205151,NA,NA
Cardiovascular Disease,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,181,0.3607020794130975,0.3589324832893222,0.3149304784385599,1.3601188066998268e-106,0.002925682560214839,NA,NA
Systolic Blood Pressure,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,243,-0.006678630680700168,0.00278139321307771,0.016342216448034658,1.6607928937419417e-22,0.39431777895777775,NA,NA
Systolic Blood Pressure,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,216,-0.002781962801973596,0.004242360366521884,0.5119796842521154,1.1395494580257794e-4,0.4961245206025786,NA,NA
Diastolic Blood Pressure,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,254,-0.01748992954054601,0.004524571563725875,1.1084195556039065e-4,1.2497647878102877e-15,0.888361202898315,NA,NA
Diastolic Blood Pressure,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,214,-0.019800015622180266,0.0072707096440803596,0.006464162411206115,0.004680822621342117,0.9095677373246931,NA,NA
Chronotype,AD — Bellenguez 2022 (proxy-incl.),Weighted median,Weighted median,10,0.2278216600383365,0.1694593958356878,0.17881821887125746,0.10115008116336853,0.03374822608540593,NA,NA
Chronotype,AD — Kunkle 2019 IGAP (clinical),Weighted median,Weighted median,8,0.08335485240139925,0.2927525153019068,0.7758525000393981,0.9487192098268095,0.9080472787623284,NA,NA
Sleep Duration,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,66,-0.11138516439889622,0.1532710334687952,0.46739734327983984,8.220466117044354e-11,0.1793154015113831,NA,NA
Sleep Duration,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,56,-0.028218891027083224,0.2563706505399154,0.912353323314492,4.147597938451582e-5,0.7901637967463561,NA,NA
Sleeplessness,AD — Bellenguez 2022 (proxy-incl.),IVW-FE,IVW-FE,39,0.06996796317131956,0.13111011917915982,0.5935781766099182,0.46816136448425444,0.7321910018659118,NA,NA
Sleeplessness,AD — Kunkle 2019 IGAP (clinical),IVW-FE,IVW-FE,31,-0.08893869963068952,0.2583280617153429,0.7306313149748476,0.15973061387507945,0.7939187449885876,NA,NA
Educational Attainment (CC),AD — Bellenguez 2022 (proxy-incl.),MR-RAPS,MR-RAPS,203,0.09035670201727855,0.12174443481412393,0.4579762075670504,3.419828008248348e-10,0.44791520221936687,NA,NA
Educational Attainment (CC),AD — Kunkle 2019 IGAP (clinical),MR-RAPS,MR-RAPS,181,-0.6414955277709999,0.20895036120201074,0.002139973155970392,0.00102265314915168,0.34910665789433093,NA,NA
Educational Attainment (YOE),AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,211,0.014999427977098516,0.011042338557524596,0.17435071595182272,3.7829870186840085e-10,0.12860307212106978,NA,NA
Educational Attainment (YOE),AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,185,-0.05391073161106837,0.018425959953105357,0.0034356826095619706,0.0030677890235410203,0.15448204344916447,NA,NA
Smoking (GSCAN),AD — Bellenguez 2022 (proxy-incl.),MR-PRESSO,MR-PRESSO (outlier-corrected),23,-0.11236843814274888,0.030496858739030366,0.001468990478579062,4.732867243851256e-9,0.11500012170901523,2,0.001
Smoking (GSCAN),AD — Kunkle 2019 IGAP (clinical),MR-PRESSO,MR-PRESSO (raw; no outliers),21,-0.026299360187462154,0.07082764185975587,0.714307382492776,0.04162854642527979,0.0742672549550715,0,0.054
Alcohol,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,34,0.12208907348892582,0.12843179291680565,0.34180030730159605,4.1323361180455345e-8,0.23525351984918902,NA,NA
Alcohol,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,29,0.1656594232871057,0.21441000586799772,0.4397418804012462,1.13973907887184e-5,0.39237936454470457,NA,NA
Schizophrenia,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,150,0.03802556695500534,0.016411571704404205,0.02050388008412718,8.518523331007423e-13,0.4217591531956506,NA,NA
Schizophrenia,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,131,0.031695610777669685,0.02454080254234094,0.19651391498205437,0.020420475256617214,0.6170350866759506,NA,NA
Bipolar Disorder,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,44,0.10415030285828539,0.028551560693607016,2.644982872755638e-4,5.335346481722261e-4,0.8543794503808491,NA,NA
Bipolar Disorder,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,44,0.011152343000292688,0.04669303687167494,0.8112266948026027,0.010105850011740152,0.39179829124071053,NA,NA
Major Depressive Disorder,AD — Bellenguez 2022 (proxy-incl.),IVW-MRE,IVW-MRE,32,-0.03521153791092974,0.07471025488225061,0.6374208312567828,2.7807874980494078e-5,0.595547391167454,NA,NA
Major Depressive Disorder,AD — Kunkle 2019 IGAP (clinical),IVW-MRE,IVW-MRE,31,-0.0877062152021313,0.12393377884189095,0.4791401981967023,0.0010001352094453674,0.722089000765468,NA,NA
