set,outcome,id,proxy_frac,nsnp,b,se,pval,scale,status,or,ci_lo,ci_hi
canonical_20snp,Kunkle2019_clinical,ieu-b-2,0,18,-0.076933910177498,0.0669487853611854,0.250495898467957,logOR,ok,0.9259510475247019,-0.20815352948542137,0.054285709130425394
canonical_20snp,Lambert2013_clinical,ieu-a-297,0,18,-0.07610035902444956,0.07154858934982213,0.28750183856058414,logOR,ok,0.9267231968563074,-0.21633559415010092,0.0641348761012018
canonical_20snp,Bellenguez2022_proxymaj,ebi-a-GCST90027158,0.545,20,-0.11276462878357063,0.03172530967049579,3.7883400851807566e-4,logOR,ok,0.8933609068153818,-0.17494623573774237,-0.05058302182939888
canonical_20snp,Schwartzentruber_GWAX,ebi-a-GCST90012878,1,20,-0.01176403149330494,0.005816316345642019,0.043115290300131386,logOR_gwax,ok,0.9883048941791638,-0.023164011530763296,-0.00036405145584658336
pooled_nAChR,Kunkle2019_clinical,ieu-b-2,0,37,-0.13268807103391422,0.06977730329168869,0.057224309653716436,logOR,ok,0.8757382176254622,-0.26945158548562403,0.004075443417795588
pooled_nAChR,Lambert2013_clinical,ieu-a-297,0,30,-0.09778241667992597,0.07680861709985501,0.20299472545867164,logOR,ok,0.9068461968956112,-0.2483273061956418,0.052762472835789845
pooled_nAChR,Bellenguez2022_proxymaj,ebi-a-GCST90027158,0.545,43,-0.12898885969318258,0.03872430563926003,8.654907240737389e-4,logOR,ok,0.8789837576397872,-0.20488849874613224,-0.05308922064023293
pooled_nAChR,Schwartzentruber_GWAX,ebi-a-GCST90012878,1,43,-0.011151575389753981,0.007496641641418784,0.13687150468212714,logOR_gwax,ok,0.9889103729394279,-0.025844993006934797,0.0035418422274268342
15q25_CHRNA5A3B4,Kunkle2019_clinical,ieu-b-2,0,27,-0.1362448685497203,0.08373880897040793,0.1037324657325245,logOR,ok,0.8726289269451188,-0.30037293413171984,0.02788319703227926
15q25_CHRNA5A3B4,Lambert2013_clinical,ieu-a-297,0,20,-0.12313128376292017,0.0839802399333196,0.1425955729266874,logOR,ok,0.8841475807197835,-0.2877325540322266,0.04146998650638624
15q25_CHRNA5A3B4,Bellenguez2022_proxymaj,ebi-a-GCST90027158,0.545,31,-0.10453098215374543,0.04600692332418659,0.02308224089792505,logOR,ok,0.9007468898959395,-0.19470455186915114,-0.014357412438339712
15q25_CHRNA5A3B4,Schwartzentruber_GWAX,ebi-a-GCST90012878,1,31,-0.011193713219770033,0.0082060780678705,0.17254368295008016,logOR_gwax,ok,0.9888687032801725,-0.027277626232796212,0.004890199793256146
CHRNA4,Kunkle2019_clinical,ieu-b-2,0,3,-0.3016897146492045,0.3299516166502906,0.3605354269297608,logOR,ok,0.739567506254659,-0.9483948832837741,0.3450154539853651
CHRNA4,Lambert2013_clinical,ieu-a-297,0,3,0.23152761424591506,0.5237056111073408,0.6584204871302026,logOR,ok,1.260524134520444,-0.794935383524473,1.2579906120163031
CHRNA4,Bellenguez2022_proxymaj,ebi-a-GCST90027158,0.545,4,-0.2563871236207597,0.14999155319811464,0.08738729425047123,logOR,ok,0.7738423381510988,-0.5503705678890645,0.03759632064754498
CHRNA4,Schwartzentruber_GWAX,ebi-a-GCST90012878,1,4,-0.0074725393490441185,0.027977539167879806,0.7893993601418968,logOR_gwax,ok,0.9925553106598456,-0.06230851611808854,0.0473634374200003
