id,role,trait,author,year,sample_size,ncase,ncontrol,population
ieu-b-142,exposure: CPD (GSCAN/Liu),Cigarettes smoked per day,Liu M,2019,249752,NA,NA,European
ebi-a-GCST90027158,"outcome: AD primary (Bellenguez, proxy-majority)",Alzheimer's disease,Bellenguez C,2022,487511,39106,46828,European
ieu-b-2,B: AD clinical (Kunkle),Alzheimer's disease,Kunkle BW,2019,63926,21982,41944,European
ieu-a-297,B: AD clinical (Lambert),Alzheimer's disease,Lambert,2013,54162,17008,37154,European
ebi-a-GCST90012878,B: AD GWAX pure (Schwartzentruber FH),Family history of Alzheimer's disease,Schwartzentruber J,2021,408942,NA,NA,European
ebi-a-GCST006697,A: parental lifespan (Pilling attained),"Parental longevity (combined parental attained age, Martingale residuals)",Pilling LC,2017,389166,NA,NA,European
ebi-a-GCST006702,A: parental lifespan (Pilling age-at-death),Parental longevity (combined parental age at death),Pilling LC,2017,208118,NA,NA,European
ebi-a-GCST004748,A: lung cancer (McKay ILCCO),Lung cancer,McKay JD,2017,85716,29266,56450,European
ebi-a-GCST007431,A: COPD axis FEV1/FVC (Shrine),Lung function (FEV1/FVC),Shrine N,2019,321047,NA,NA,European
ieu-a-7,A/E: CAD (Nikpay),Coronary heart disease,Nikpay,2015,184305,60801,123504,Mixed
ebi-a-GCST005195,A: CAD sensitivity (van der Harst),Coronary artery disease,van der Harst P,2017,547261,122733,424528,NA
ieu-a-1239,E: EA (Lee 2018),Years of schooling,Lee,2018,766345,NA,NA,European
ieu-b-5067,"MISLABELLED config ad_proxy (Woolf, not Wightman)",Alzheimer's disease,Benjamin Woolf,2022,488285,954,487331,European
ieu-a-1001,"MISLABELLED config lifespan (Okbay EA, not lifespan)",Years of schooling,Okbay,2016,293723,NA,NA,European
