set,outcome,id,nsnp,method,b,se,status,or,p_assoc,ci_lo,ci_hi,tost_p_d02,verdict_d02,tost_p_d05,verdict_d05,scale,ukb
15q25_CHRNA5A3B4,parental_lifespan,ebi-a-GCST006697,31,LD-aware IVW,0.13042356932520288,0.013671907986552254,ok,1.1393108582680482,1.4348180520383227e-21,0.10362662967156047,0.1572205089788453,0.9999999999999997,real-assoc,0.9999999979781461,real-assoc,SD/quant,TRUE
15q25_CHRNA5A3B4,lung_cancer,ebi-a-GCST004748,26,LD-aware IVW,1.362023233661545,0.09013745539676585,ok,3.9040841910999604,1.3805973808438663e-51,1.1853538210838839,1.538692646239206,1,real-assoc,1,real-assoc,log-OR,FALSE
15q25_CHRNA5A3B4,COPD_FEV1FVC,ebi-a-GCST007431,31,LD-aware IVW,-0.08422850586600292,0.012845316633356833,ok,0.9192211846619119,5.485047899276171e-11,-0.10940532646738231,-0.059051685264623524,0.9999997135708785,real-assoc,0.9961467833659643,real-assoc,SD/quant,TRUE
15q25_CHRNA5A3B4,CAD,ieu-a-7,29,LD-aware IVW,-0.06438631461235965,0.06783083857593668,ok,0.9376427044773866,0.3425092861795102,-0.19733475822119556,0.06856212899647625,0.7435625532870621,inconclusive,0.583982003837638,inconclusive,log-OR,FALSE
CHRNA4,parental_lifespan,ebi-a-GCST006697,4,LD-aware IVW,0.25294562553730027,0.04170327656746806,ok,1.2878132507772644,1.3165369806473448e-9,0.17120720346506285,0.3346840476095377,0.9999999883677969,real-assoc,0.999999431808226,real-assoc,SD/quant,TRUE
CHRNA4,lung_cancer,ebi-a-GCST004748,4,LD-aware IVW,1.3874300475260863,0.35299205778520915,ok,4.004545326168813,8.477462334034935e-5,0.6955656142670764,2.079294480785096,0.9999464301862561,real-assoc,0.9999243234973514,real-assoc,log-OR,FALSE
CHRNA4,COPD_FEV1FVC,ebi-a-GCST007431,4,LD-aware IVW,-0.1644275739488782,0.04649258898213769,ok,0.8483791994745645,4.0525085695024667e-4,-0.25555304835386805,-0.07330209954388832,0.9990533045718387,real-assoc,0.9930763482768041,real-assoc,SD/quant,TRUE
CHRNA4,CAD,ieu-a-7,4,LD-aware IVW,0.5267949866133452,0.20958829876028465,ok,1.6934959243222247,0.01195481902613288,0.11600192104318735,0.9375880521835032,0.992198033819499,real-assoc,0.9885444025871918,real-assoc,log-OR,FALSE
CHRNB2,parental_lifespan,ebi-a-GCST006697,2,LD-aware IVW,0.10106890060912961,0.05390068878034283,ok,1.1063528675238774,0.0607796844431152,-0.004576449400342325,0.20671425061860155,0.9337147256563756,inconclusive,0.8282985128959257,inconclusive,SD/quant,TRUE
CHRNB2,lung_cancer,ebi-a-GCST004748,2,LD-aware IVW,1.371086940064366,0.2998733225485092,ok,3.939630511339016,4.825828057499327e-6,0.783335227869288,1.9588386522594439,0.9999966895576398,real-assoc,0.9999947225878716,real-assoc,log-OR,FALSE
CHRNB2,COPD_FEV1FVC,ebi-a-GCST007431,2,LD-aware IVW,-0.03680868578065684,0.057702126278914495,ok,0.9638605179335301,0.5235331432158059,-0.14990485328732925,0.07628748172601557,0.6145894299895177,inconclusive,0.40958581607375294,inconclusive,SD/quant,TRUE
