Phenotype ID:,BXD_12914
Phenotype URL: ,http://genenetwork.org/show_trait?trait_id=12914&dataset=BXDPublish
Group: ,BXD
Phenotype: ,Blood chemistry: Calcium of 14-week old males [mM]
Authors: ,"Andreux P, Williams EG, Koutnikova H, Houtkooper RH, Champy MF, Henry H, Schoonjans K, Williams RW, Auwerx J"
Title: ,Systems genetics of metabolism: the use of the BXD murine reference panel for multiscalar integration of traits
Journal: ,Cell
Dataset Link: ,http://gn1.genenetwork.org/webqtl/main.py?FormID=sharinginfo&InfoPageName=BXDPublish
Export Date: ,"December 01, 2022"
Export Time: ,14:50 GMT
Index,Name,Value,SE,N,Status,RRID,Epoch,SeqCvge
1,C57BL/6J,2.351,0.017,24,Live,JAX:000664,,69.14
2,BXD1,2.32,,1,Live,JAX:000036,1,36.03
3,BXD6,2.275,0.009,4,Live,JAX:000007,1,32.01
4,BXD8,2.338,0.023,4,Live,JAX:000084,1,36.63
5,BXD11,2.49,0.045,3,Live,JAX:000012,1,42.34
6,BXD16,2.378,0.034,4,Live,JAX:000013,1,37.36
7,BXD18,2.398,0.032,4,Live,JAX:000015,1,35.24
8,BXD20,2.29,0.015,4,Live,JAX:000330,1,43.21
9,BXD28,2.273,0.009,3,Live,JAX:000047,1,35.03
10,BXD31,2.295,0.023,4,Live,JAX:000083,1b,40.03
11,BXD34,2.438,0.024,4,Live,JAX:003223,2,40.19
12,BXD42,2.473,0.056,4,Live,JAX:003230,2,38.17
13,BXD43,2.3,,1,Live,JAX:007093,3a,39.54
14,BXD44,2.367,0.052,3,Live,JAX:007094,3a,38.66
15,BXD45,2.33,0.01,2,Live,JAX:007096,3a,33.75
16,BXD48,2.393,0.015,4,Live,JAX:007097,3a,38.19
17,BXD48a,2.35,0.03,2,Live,JAX:007139,3a,40.47
18,BXD55,2.505,0.085,2,Live,JAX:007103,3a,39.65
19,BXD56,2.423,0.013,4,Live,JAX:007104,3a,40.37
20,BXD62,2.4,0.06,2,Live,JAX:007107,3b,41.19
21,BXD65,2.36,0.01,2,Live,JAX:007110,3b,39.08
22,BXD65a,2.497,0.018,3,Live,JAX:007140,3b,39.25
23,BXD65b,2.385,0.025,2,Live,JAX:009677,3b,37.21
24,BXD71,2.285,0.025,2,Live,JAX:007116,3b,41.12
25,BXD73a,2.585,0.042,4,Live,JAX:007124,3b,35.86
26,BXD73b,2.295,0.025,2,Live,JAX:007146,3b,
27,BXD75,2.365,0.025,2,Live,JAX:007119,3b,39.44
28,BXD81,2.56,0.02,2,Live,JAX:007125,3b,33.74
29,BXD83,2.625,0.075,2,Live,JAX:007126,3b,37.79
30,BXD84,2.375,0.035,2,Live,JAX:007127,3b,41.48
31,BXD87,2.47,0.006,3,Live,JAX:007130,3b,39.90
32,BXD89,2.29,0.021,4,Live,JAX:007132,3b,41.79
33,BXD90,2.68,,1,Live,JAX:007133,3b,38.19
34,BXD95,2.4,0.034,4,Live,JAX:007138,3b,32.16
35,BXD98,2.33,0.025,3,Live,JAX:007141,3b,37.73
36,BXD101,2.35,0,2,Live,JAX:007144,3b,
