ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000071644,chol2:sexM,-0.14554001200708536,0.028755121257081635,-5.061359703751646,2.0618397576981174e-6,2.0618397576981174e-6,Eef1g
ENSMUSG00000024120,chol2:sexM,-0.17911682947337987,0.0404582099724248,-4.427205988486909,2.5730863922283303e-05,2.5730863922283303e-05,Lrpprc
ENSMUSG00000021595,chol2:sexM,-0.11193739852188714,0.02609875611529203,-4.288993622048513,4.348857633133873e-5,4.348857633133873e-5,Nsun2
ENSMUSG00000026895,chol2:sexM,-0.05301874562255654,0.012365235301561616,-4.287726382033406,4.369637710887834e-5,4.369637710887834e-5,Ndufa8
ENSMUSG00000010608,chol2:sexM,-0.06930253478400754,0.016693013205123834,-4.151589286632535,7.256583733195928e-5,7.256583733195928e-5,Rbm25
ENSMUSG00000069874,chol2:sexM,0.22098868320251314,0.05361404266408065,4.121843312341135,8.096532800761852e-5,8.096532800761852e-5,Irgm2
ENSMUSG00000034422,chol2:sexM,0.12787254121426087,0.03134338188542416,4.079730186158576,9.446898800367122e-5,9.446898800367122e-5,Parp14
ENSMUSG00000031877,chol2:sexM,-0.08081680372720307,0.02099873671415002,-3.848650746344402,2.1643414535106505e-4,2.1643414535106505e-4,Ces2g
ENSMUSG00000050043,chol2:sexM,-0.07200710956108088,0.01894950590475799,-3.7999465486327413,2.5676734604032956e-4,2.5676734604032956e-4,Tmx2
ENSMUSG00000021610,chol2:sexM,-0.08224583260614124,0.0217286664030218,-3.7851302551500967,2.703948832519365e-4,2.703948832519365e-4,Clptm1l
ENSMUSG00000029390,chol2:sexM,-0.18205202200809292,0.04812233995913439,-3.783108264533519,2.7230720569853384e-4,2.7230720569853384e-4,Tmed2
ENSMUSG00000020532,chol2:sexM,-0.5802589680537918,0.15613666135270293,-3.716353116729089,3.4318151469178845e-4,3.4318151469178845e-4,Acaca
ENSMUSG00000025613,chol2:sexM,-0.10128691189352294,0.02726013746866006,-3.7155686397388363,3.4411036671364535e-4,3.4411036671364535e-4,Cct8
ENSMUSG00000013160,chol2:sexM,-0.04121597293437852,0.011201770532235865,-3.679415929452346,3.896048292709839e-4,3.896048292709839e-4,Atp6v0d1
ENSMUSG00000041220,chol2:sexM,-0.7443324199132167,0.20624889133833615,-3.608903859231874,4.952563281554833e-4,4.952563281554833e-4,Elovl6
ENSMUSG00000055681,chol2:sexM,-0.06578875207356738,0.018603129259273574,-3.5364347124971993,6.317880718316693e-4,6.317880718316693e-4,Cope
ENSMUSG00000001445,chol2:sexM,-0.0439498076242622,0.01275414790702638,-3.445922686849965,8.524664646360631e-4,8.524664646360631e-4,Mrpl10
ENSMUSG00000002741,chol2:sexM,-0.052676060701934146,0.015291910920320435,-3.444700991027637,8.558907835775204e-4,8.558907835775204e-4,Ykt6
ENSMUSG00000030102,chol2:sexM,-0.12471152573044016,0.036341318550907074,-3.431673112128381,8.932218271527959e-4,8.932218271527959e-4,Itpr1
ENSMUSG00000032504,chol2:sexM,-0.07923465611303951,0.02310072239033076,-3.42996443029871,8.982302372257927e-4,8.982302372257927e-4,Pdcd6ip
ENSMUSG00000038170,chol2:sexM,-0.11707494734737413,0.034408173616004824,-3.4025330333987034,9.823448281452837e-4,9.823448281452837e-4,Pde4dip
ENSMUSG00000030835,chol2:sexM,-0.046989840068191034,0.013845453848305416,-3.3938822506668678,0.0010103724297644526,0.0010103724297644526,Nomo1
ENSMUSG00000026926,chol2:sexM,-0.046976770862631065,0.013854278091692585,-3.390777242359503,0.001020614450259417,0.001020614450259417,Pmpca
ENSMUSG00000021748,chol2:sexM,-0.1781393386709808,0.05290236894133016,-3.367322527060009,0.001101194238152438,0.001101194238152438,Pdhb
ENSMUSG00000028932,chol2:sexM,-0.0618454003699002,0.018429999299313472,-3.3556919544866166,0.0011433333178162864,0.0011433333178162864,Psmc2
ENSMUSG00000000563,chol2:sexM,-0.2319873476399166,0.06931471180228073,-3.3468702618523083,0.0011763003306201757,0.0011763003306201757,Atp5pb
ENSMUSG00000029430,chol2:sexM,-0.06893770141341608,0.020702870110993032,-3.3298620453987584,0.001242394349094908,0.001242394349094908,Ran
ENSMUSG00000038009,chol2:sexM,-0.08687887768622064,0.02612786358932357,-3.3251428073790654,0.001261341652203813,0.001261341652203813,Dnajc22
ENSMUSG00000000001,chol2:sexM,-0.07542643022952246,0.022693021201129503,-3.32377207781255,0.001266895593972284,0.001266895593972284,Gnai3
ENSMUSG00000020368,chol2:sexM,-0.2987830366967434,0.09002270801437816,-3.3189741042784746,0.0012865172723846628,0.0012865172723846628,Canx
ENSMUSG00000002102,chol2:sexM,-0.06000383855765581,0.01810493121105802,-3.3142262656599892,0.0013062141678817426,0.0013062141678817426,Psmc3
ENSMUSG00000041355,chol2:sexM,-0.055043827331817646,0.016743708868356823,-3.2874333736083097,0.0014227711093416175,0.0014227711093416175,Ssr2
ENSMUSG00000089943,chol2:sexM,-0.4190675653354735,0.1277962098279427,-3.279186181653442,0.0014605654052345478,0.0014605654052345478,Ugt1a5
ENSMUSG00000038965,chol2:sexM,-0.045791949362757683,0.014045128167540392,-3.260344000889018,0.0015504686692851893,0.0015504686692851893,Ube2l3
ENSMUSG00000058927,chol2:sexM,-0.12727836732962053,0.039196806391657665,-3.2471616707199247,0.0016164168292314835,0.0016164168292314835,NA
ENSMUSG00000025967,chol2:sexM,-0.11088868918050966,0.03415639487804761,-3.2464986300933667,0.0016198021796612592,0.0016198021796612592,Eef1b2
ENSMUSG00000029221,chol2:sexM,-0.062471272491520236,0.01925579437041315,-3.2442843587646735,0.0016311558977559057,0.0016311558977559057,Slc30a9
ENSMUSG00000045983,chol2:sexM,-0.4257775789434185,0.13191039236562163,-3.2277788831320637,0.001718161893744131,0.001718161893744131,Eif4g1
ENSMUSG00000025487,chol2:sexM,-0.04367785682260545,0.013544689940101209,-3.224721792507794,0.0017347454157344052,0.0017347454157344052,Psmd13
ENSMUSG00000055762,chol2:sexM,-0.04040414695985821,0.012628272670694812,-3.199499093301979,0.001877386223258524,0.001877386223258524,Eef1d
ENSMUSG00000026201,chol2:sexM,-0.04759018684130658,0.014898906353462141,-3.1942067231161424,0.0019086731203296378,0.0019086731203296378,Stk16
ENSMUSG00000024052,chol2:sexM,-0.7065054887876305,0.22248760558869482,-3.1754824585317483,0.002023313124033572,0.002023313124033572,Lpin2
ENSMUSG00000022437,chol2:sexM,-0.06327140038358751,0.019934372114388775,-3.1739851157848986,0.00203275253335676,0.00203275253335676,Samm50
ENSMUSG00000027618,chol2:sexM,-0.042866740394445685,0.013537286561897927,-3.1665681448377176,0.0020801181957259295,0.0020801181957259295,Nfs1
ENSMUSG00000026827,chol2:sexM,-0.1245491027454246,0.039400441689639694,-3.1611093024415173,0.002115633895247301,0.002115633895247301,Gpd2
ENSMUSG00000038388,chol2:sexM,-0.05177695913674144,0.016404753868614494,-3.156216762008292,0.0021479444699775544,0.0021479444699775544,Pals2
ENSMUSG00000013701,chol2:sexM,-0.0524989086130156,0.016663452065121428,-3.150542181046748,0.0021859951888147885,0.0021859951888147885,Timm23
ENSMUSG00000024740,chol2:sexM,-0.17071781904030073,0.05424747267216412,-3.1470188495601708,0.0022099356649318332,0.0022099356649318332,Ddb1
ENSMUSG00000027288,chol2:sexM,-0.13887336566285377,0.044184651014860604,-3.1430228025597975,0.0022373835171394527,0.0022373835171394527,Zfp106
ENSMUSG00000048076,chol2:sexM,-0.11445352912756014,0.03643387867571591,-3.1414039154674542,0.002248593312945679,0.002248593312945679,Arf1
ENSMUSG00000038324,chol2:sexM,-0.06404805749638384,0.020461520070396765,-3.130171036952774,0.002327825610925051,0.002327825610925051,Trpc4ap
ENSMUSG00000056608,chol2:sexM,-0.06644029754421517,0.021254183939070033,-3.1259867579334704,0.0023579981884717604,0.0023579981884717604,Chd9
ENSMUSG00000029064,chol2:sexM,-0.032181825250691604,0.010334867254261573,-3.1139079447219276,0.002447150849185613,0.002447150849185613,Gnb1
ENSMUSG00000002320,chol2:sexM,-0.03179914231691945,0.010270546835419472,-3.096148902924574,0.0025839327808921987,0.0025839327808921987,Tm9sf1
ENSMUSG00000005779,chol2:sexM,-0.06768261093713031,0.02198251950037688,-3.0789287340775435,0.002723316597580883,0.002723316597580883,Psmb4
ENSMUSG00000019179,chol2:sexM,-0.10039948458770317,0.03269755389485662,-3.070550320386388,0.0027936284124484493,0.0027936284124484493,Mdh2
ENSMUSG00000055943,chol2:sexM,-0.04026761722768831,0.013116112030221172,-3.070087929632398,0.0027975574276577113,0.0027975574276577113,Emc7
ENSMUSG00000038991,chol2:sexM,-0.20917773921358976,0.06821807449393208,-3.0663096366373677,0.002829854878881877,0.002829854878881877,Txndc5
ENSMUSG00000044627,chol2:sexM,-0.052468862205965874,0.01712272276620036,-3.064282644903737,0.0028473241581138077,0.0028473241581138077,Swi5
ENSMUSG00000033096,chol2:sexM,-0.052132749867623174,0.01708452685457855,-3.0514599737745685,0.0029601724150660367,0.0029601724150660367,Apmap
ENSMUSG00000028158,chol2:sexM,-0.44629478096565084,0.14636986715568465,-3.0490891987416675,0.0029814856880280107,0.0029814856880280107,Mttp
ENSMUSG00000019087,chol2:sexM,-0.039748104667468864,0.013036953242018229,-3.0488798977479132,0.002983374121388278,0.002983374121388278,Atp6ap1
ENSMUSG00000019188,chol2:sexM,-0.08453228507069636,0.027844233984328955,-3.035899106374127,0.0031026842986387926,0.0031026842986387926,H13
ENSMUSG00000040048,chol2:sexM,-0.06510945584130931,0.021538276626035618,-3.02296497402232,0.0032259486290587506,0.0032259486290587506,Ndufb10
ENSMUSG00000019804,chol2:sexM,-0.03783795941469063,0.012526987672878673,-3.020515418611852,0.003249797893332333,0.003249797893332333,Snx3
ENSMUSG00000004069,chol2:sexM,-0.08396903206090792,0.02792691471675599,-3.006742166564034,0.003386962494908893,0.003386962494908893,Dnaja3
ENSMUSG00000057530,chol2:sexM,-0.33374963931737,0.11125476646745386,-2.999868229600789,0.0034574038571614936,0.0034574038571614936,Ece1
ENSMUSG00000043091,chol2:sexM,-0.30956779432714615,0.10329502149502168,-2.9969285048463425,0.0034879405431851845,0.0034879405431851845,Tuba1c
ENSMUSG00000029152,chol2:sexM,-0.05341874257224512,0.01788012935396864,-2.987603809498637,0.003586459350353003,0.003586459350353003,Ociad1
ENSMUSG00000020708,chol2:sexM,-0.04389414762269311,0.01471982054422526,-2.9819757306697086,0.0036471600489167678,0.0036471600489167678,Psmc5
ENSMUSG00000029198,chol2:sexM,-0.07184058330634907,0.02417750983322096,-2.9713805847629913,0.0037640147592838116,0.0037640147592838116,Grpel1
ENSMUSG00000062234,chol2:sexM,-0.04688668441554595,0.015795790102921543,-2.9683025736632147,0.003798604848251499,0.003798604848251499,Gak
ENSMUSG00000025871,chol2:sexM,-0.06643651190309494,0.022392999507654762,-2.966842913580401,0.0038151105968390357,0.0038151105968390357,4833439L19Rik
ENSMUSG00000043733,chol2:sexM,-0.05412367412624984,0.018254722818725408,-2.9649135001234104,0.0038370298927868037,0.0038370298927868037,Ptpn11
ENSMUSG00000028719,chol2:sexM,-0.06019392866801368,0.020379851257002573,-2.9535999997708955,0.003967914359273385,0.003967914359273385,Cmpk1
ENSMUSG00000018362,chol2:sexM,-0.05503175827057107,0.01872970544771718,-2.938207353243693,0.0041526086180323956,0.0041526086180323956,Kpna2
ENSMUSG00000062397,chol2:sexM,-0.06307381068969149,0.02151147246082191,-2.932101036066481,0.0042280483953860415,0.0042280483953860415,Zfp706
ENSMUSG00000024359,chol2:sexM,-0.34238642636878247,0.11713809447596342,-2.922929794107584,0.004343728768676338,0.004343728768676338,Hspa9
ENSMUSG00000061904,chol2:sexM,-0.1329915314134353,0.04570955882598518,-2.909490592979245,0.004518515127894337,0.004518515127894337,Slc25a3
ENSMUSG00000051391,chol2:sexM,-0.07321618602683916,0.02524154815241559,-2.900621847152131,0.004637380547065173,0.004637380547065173,Ywhag
ENSMUSG00000078578,chol2:sexM,-0.10328941524718215,0.035627815471935845,-2.8991228869629566,0.004657752617750027,0.004657752617750027,Ube2d3
ENSMUSG00000029840,chol2:sexM,-0.057419687887957586,0.019817198941669414,-2.8974673997555636,0.004680347661420389,0.004680347661420389,Mtpn
ENSMUSG00000047260,chol2:sexM,-0.044396666729423113,0.015322871850911876,-2.897411605434854,0.004681110927710953,0.004681110927710953,Emc6
ENSMUSG00000030591,chol2:sexM,-0.05316910647413534,0.01842883501199027,-2.8851040469754143,0.004852303942040763,0.004852303942040763,Psmd8
ENSMUSG00000028307,chol2:sexM,-5.674592575804262,1.9671475938043326,-2.88468063793321,0.0048582945105288015,0.0048582945105288015,Aldob
ENSMUSG00000027808,chol2:sexM,-0.3008663450976304,0.10432820501853868,-2.8838447382869066,0.004870141131055059,0.004870141131055059,Serp1
ENSMUSG00000008690,chol2:sexM,-0.026553837793510403,0.009226849661223021,-2.8778877697667706,0.004955336860066013,0.004955336860066013,Ncaph2
ENSMUSG00000030555,chol2:sexM,-0.11614506196878067,0.04036999709021661,-2.877014375533052,0.004967942498908271,0.004967942498908271,Ttc23
ENSMUSG00000022283,chol2:sexM,-0.12526849813165503,0.04361389976821163,-2.872215023132558,0.005037738510491338,0.005037738510491338,Pabpc1
ENSMUSG00000031545,chol2:sexM,-0.21132321388178615,0.07365672633817909,-2.8690280492719817,0.0050845824475509935,0.0050845824475509935,Gpat4
ENSMUSG00000024387,chol2:sexM,-0.028914993338418463,0.010083983605920228,-2.8674177258125146,0.005108403710123551,0.005108403710123551,Csnk2b
