gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,chr,start,end,strand,middle,nearest.marker.id,start.true,end.true
ENSMUSG00000082884,1055.7577673940684,0.9328773823411832,0.2073634097948526,4.498755992024298,6.8352255607889695e-06,0.00642796003779196,Gm13339,2,22.590024,22.590533,-,22.5902785,2_22638617,22590024,22590533
ENSMUSG00000094793,2884.5361500096674,-0.8172323853213882,0.14773804525132986,-5.531631232368914,3.1726636398283104e-8,6.355465517108331e-5,Mup12,4,60.737382999999994,60.741325999999994,-,60.73935449999999,4_60682384,60737382.99999999,60741325.99999999
ENSMUSG00000096449,108.6648734340331,0.8057564489902077,0.1637048803640553,4.922006278605288,8.566146513748407e-7,0.0013809851915378682,Gm4076,13,85.126999,85.12751399999999,-,85.12725649999999,13_85006538,85126999,85127513.99999999
ENSMUSG00000066362,81.69364740445506,0.6134748011478518,0.10651508944227077,5.759510735615952,8.435809436391352e-9,3.173270316322547e-5,Rps13-ps1,8,87.04768899999999,87.048226,+,87.0479575,8_87082656,87047688.99999999,87048226
ENSMUSG00000063388,126.19069499225027,0.601297689374858,0.09594773689316712,6.266929360140845,3.6823709603795874e-10,4.155555628788364e-6,BC023105,18,60.441753,60.442983,+,60.442368,18_60435548,60441753,60442983
ENSMUSG00000073940,755.3777993245535,0.5364105318790082,0.09075260627299019,5.9106901047607145,3.406774244377868e-9,1.922272367390212e-5,Hbb-bt,7,103.812524,103.81399599999999,-,103.81325999999999,7_103735454,103812524,103813995.99999999
ENSMUSG00000069917,3208.442660827306,0.519741509551081,0.09134667382435448,5.689769400366602,1.2721104519688514e-8,3.588941612617122e-5,Hba-a2,11,32.296489,32.297298,+,32.296893499999996,11_32207213,32296489,32297297.999999996
ENSMUSG00000052305,4354.803834867677,0.46346884656207366,0.08395311919652358,5.5205673237363815,3.3790689501683643e-8,6.355465517108331e-5,Hbb-bs,7,103.826534,103.828096,-,103.827315,7_103735454,103826534,103828096
ENSMUSG00000100131,214.03867028606416,0.433988388923006,0.16949799954494915,2.560433692952917,0.010454161077233813,0.20352991496021647,Gm28439,1,24.611535,24.61241,-,24.6119725,1_24667031,24611535,24612410
ENSMUSG00000078687,2105.167019126822,-0.4101168096042485,0.1279416093729841,-3.20549984961224,0.0013482811724206643,0.09110989838782751,Mup8,4,60.218621,60.222598999999995,-,60.22060999999999,4_60164780,60218621,60222598.99999999
ENSMUSG00000065922,44.01427746237082,-0.3819307728872133,0.17546825500901142,-2.176637437168328,0.02950762960436876,0.29364514998703833,n-R5-8s1,18,73.53340299999999,73.53354999999999,-,73.53347649999999,18_73531887,73533403,73533549.99999999
ENSMUSG00000069324,1596.1969660030447,0.36234029499030446,0.1367406569768899,2.6498358498565824,0.008053088729208954,0.18813273768031852,Gm5096,18,87.756286,87.75814299999999,+,87.7572145,18_87671731,87756286,87758142.99999999
ENSMUSG00000092008,5755.331259244037,-0.3578070416929119,0.11402419121329188,-3.137992367107464,0.001701093066876461,0.09786253292063782,Cyp2c69,19,39.842659999999995,39.886769,-,39.8647145,19_39861304,39842659.99999999,39886769
ENSMUSG00000094156,381.12434650085453,-0.35437714428594397,0.11129294990359002,-3.1841832262774146,0.0014516309583922178,0.0941474446290585,Sult2a7,7,14.465159,14.492925999999999,-,14.479042499999998,7_14467208,14465159,14492925.999999998
ENSMUSG00000084923,22.240336753775516,-0.35302890410888743,0.08836571755622115,-3.9950889764945203,6.466996098188679e-5,NA,Gm15611,5,8.998402,8.999668999999999,-,8.9990355,5_8943414,8998402,8999668.999999998
ENSMUSG00000073834,22433.51255472361,-0.34843411748964276,0.1090542258508054,-3.1950537888034485,0.0013980478202089365,0.09226298041554297,Mup11,4,60.658466,60.662411,-,60.6604385,4_60682384,60658466,60662411
ENSMUSG00000023078,65.73401897436052,0.30617375493370746,0.08892340533191082,3.443117746007358,5.750488870907591e-4,0.06690130609091977,Cxcl13,5,95.95695099999999,95.961068,+,95.9590095,5_95939856,95956950.99999999,95961068
ENSMUSG00000046687,80.12052111288395,-0.3039949457021886,0.07012566553639274,-4.335002646704664,1.4575836864844988e-5,0.010280519938735981,Gm5424,10,62.071014999999996,62.072609,+,62.071811999999994,10_62037414,62071014.99999999,62072609
ENSMUSG00000089873,3805.6627178443337,-0.30243208003568,0.13885562574906804,-2.1780326033186297,0.029403609535867976,0.29364128775423526,Mup13,4,61.224306999999996,61.228286,-,61.2262965,4_61199988,61224306.99999999,61228286
ENSMUSG00000099021,29.731478460428658,0.2944484468025282,0.13899748402747958,2.118372493305823,0.03414353352972467,0.30900436591202746,Rn7s1,12,69.159295,69.159594,+,69.1594445,12_69315958,69159295,69159594
ENSMUSG00000075552,7185.439121167669,-0.2942275831710349,0.10457315646580825,-2.813605260803589,0.004898934439454461,0.15662341182305856,Cyp3a41b,5,145.558664,145.58473,-,145.571697,5_145729503,145558664,145584730
ENSMUSG00000041449,40.36653827882747,-0.2922583199369417,0.10328300690264378,-2.8296844631220806,0.004659393171444548,0.15374635070102843,Serpina3h,12,104.24790499999999,104.253669,+,104.250787,12_104251671,104247904.99999999,104253669
ENSMUSG00000004552,503.46678617058916,0.288281278672786,0.1068236889998137,2.698664325974445,0.006961835798349718,0.178961997686507,Ctse,1,131.638306,131.675505,+,131.6569055,1_131565298,131638306,131675504.99999999
ENSMUSG00000058492,26.448644751730132,-0.2847832991021411,0.09430076009376857,-3.0199470165348083,0.0025281890825632454,NA,Scp2-ps2,9,123.307508,123.30793899999999,-,123.3077235,9_123358915,123307508,123307938.99999999
ENSMUSG00000092075,1108.6000313192305,-0.2840539980390059,0.11449978768936425,-2.4808255436214344,0.01310785089874661,0.21721306518701244,Serpina4-ps1,12,104.080649,104.08672399999999,+,104.0836865,12_104088712,104080649,104086723.99999999
ENSMUSG00000058523,43.02785957212657,-0.27671991765811393,0.07865338341358957,-3.518220140677417,4.3445179430176046e-4,0.06052825307031317,Mup5,4,61.831319,61.835232999999995,-,61.833276,4_61801740,61831319,61835232.99999999
ENSMUSG00000080859,339.745307039931,-0.2761558289670891,0.14127477657075288,-1.95474263467538,0.0506134551254628,0.35938190130890607,Rpl10-ps1,2,105.55420099999999,105.554845,-,105.55452299999999,2_105517883,105554200.99999999,105554845
ENSMUSG00000030004,159.64923210765062,-0.2748307865362847,0.0991199967038335,-2.772707785266255,0.005559201585953896,0.16359222170764137,Nat8,6,85.830388,85.832082,-,85.83123499999999,6_85898109,85830388,85832082
ENSMUSG00000017723,166.3322931649756,0.27451744104053505,0.06171937806566097,4.447832263450323,8.674122162604595e-6,0.007529805277307143,Wfdc2,2,164.562413,164.56851,+,164.5654615,2_164605360,164562413,164568510
ENSMUSG00000058838,28.65691616501459,0.27267329874111584,0.13693592159217785,1.9912474066022694,0.04645369437309227,NA,Rps27a-ps2,9,83.40966,83.41012599999999,+,83.409893,9_83417418,83409660,83410125.99999999
ENSMUSG00000094497,174.32651808305158,0.27197731077646947,0.1971296979841429,1.379687147891574,0.1676829917173705,0.5374364850819906,Gm8210,1,43.189156,43.189637999999995,+,43.189397,1_43193845,43189156,43189637.99999999
ENSMUSG00000078675,19638.713441342843,-0.26897096921524677,0.10338002066973913,-2.6017693503322987,0.00927442040024904,0.1977571371717517,Mup16,4,61.515592,61.519531,-,61.5175615,4_61458790,61515592,61519531
ENSMUSG00000054417,4084.004102805978,-0.26738149273219053,0.07694444809882028,-3.474993964331132,5.108648453264322e-4,0.06393615471849726,Cyp3a44,5,145.773983,145.805874,-,145.78992849999997,5_145729503,145773983,145805874
ENSMUSG00000029188,138.66635621728315,-0.25934081135193465,0.09218152191715707,-2.813370900786413,0.0049025067390783324,0.15662341182305856,Slc34a2,5,53.038081,53.071664,+,53.0548725,5_53049654,53038081,53071664
ENSMUSG00000056978,12793.109460699665,-0.258720200592655,0.086871595739406,-2.97819095402315,0.0028995527619410633,0.12536955141189618,Hamp2,7,30.922372,30.924180999999997,-,30.9232765,7_30929661,30922372,30924180.999999996
ENSMUSG00000050440,8235.471078984358,-0.25402558162321426,0.062377479322582294,-4.072392542660029,4.6532670012878235e-5,0.021880049212305453,Hamp,7,30.942370999999998,30.944017,-,30.943194,7_30929661,30942370.999999996,30944017
ENSMUSG00000078193,595.8020069983928,0.24400360183522177,0.1795507345518104,1.3589674386144777,0.17415690698836897,0.5439691932919303,Gm2000,1,156.36604,156.36648399999999,+,156.366262,1_156226138,156366040,156366484
ENSMUSG00000081406,649.5228959051036,-0.23289302276004903,0.16231368094570622,-1.434832981441358,0.15133469703396554,0.5193010248795652,Rps6-ps4,2,75.191073,75.191822,-,75.19144750000001,2_75188885,75191073,75191822
ENSMUSG00000081053,108.95106378861303,-0.23070898254866157,0.11893035737579129,-1.9398662178376942,0.05239595058228688,0.36415120807286255,Mup-ps17,4,61.857321,61.857876,-,61.857598499999995,4_61801740,61857321,61857876
ENSMUSG00000063590,355.3591509917959,-0.22811434927227264,0.1028927823680266,-2.217010212206663,0.02662239368964176,0.28434906448579805,Slc22a28,19,8.062209,8.131981999999999,-,8.097095499999998,19_8202756,8062208.999999999,8131981.999999999
ENSMUSG00000107383,438.0852157192317,0.228083597631503,0.19407726849629245,1.1752205675537946,0.23990648372179374,0.6130854689121622,RP24-246N21.1,7,116.82450999999999,116.825851,-,116.82518049999999,7_116854886,116824509.99999999,116825851
ENSMUSG00000103865,127.61426007759364,-0.22390008678567858,0.08392266698319502,-2.6679334062454565,0.007631938358499573,0.18642083198196469,Gm37416,2,16.023108,16.023425,-,16.0232665,2_16028429,16023108,16023425
ENSMUSG00000078798,4447.4615494686,0.22040358751294745,0.1075810999784164,2.048720338025603,0.0404894692944251,0.3266620994146845,Sult2a1,7,13.796246,13.837409,-,13.816827499999999,7_13952157,13796246,13837409
ENSMUSG00000012123,74.77132959951237,0.2182601733952107,0.07869744842959679,2.7734085126084813,0.00554724356944003,0.16359222170764137,Aim1l,4,134.065912,134.092504,+,134.079208,4_133904386,134065912,134092503.99999999
ENSMUSG00000096674,9669.46703581349,-0.2148653000948717,0.16664763142005098,-1.2893390578908592,0.19728023801113873,0.5725966041367752,Mup15,4,61.43579,61.439743,-,61.437766499999995,4_61458790,61435790,61439743
ENSMUSG00000075551,25104.209875045697,-0.21470507071931452,0.07631556917990756,-2.813384909875537,0.004902293135331264,0.15662341182305856,Cyp3a41a,5,145.694049,145.720136,-,145.7070925,5_145729503,145694049,145720136
ENSMUSG00000026796,371.52132647711926,0.2140392322520497,0.06203086352938286,3.4505280125701185,5.594911005977281e-4,0.06690130609091977,Fam129b,2,32.876114,32.925253999999995,+,32.900684,2_32899708,32876114,32925253.999999996
ENSMUSG00000066513,30.467494206842797,0.21296950827014285,0.0661559098362269,3.2192060965885316,0.0012854605895915461,0.09003449547609324,Klk1b4,7,44.207435,44.211754,+,44.209594499999994,7_44138903,44207435,44211754
ENSMUSG00000078680,162173.51949459148,-0.20940951979935743,0.07079400605923204,-2.958012004916749,0.0030963006516287854,0.12846232666776047,Mup10,4,60.57826,60.582198999999996,-,60.5802295,4_60682384,60578260,60582198.99999999
ENSMUSG00000106334,251.1726806350484,0.20802667133066113,0.10935207366364509,1.90235689512874,0.05712451223284894,0.37238355541907986,WI1-49P9.2,3,55.578105,55.58273,-,55.580417499999996,3_55602577,55578105,55582730
ENSMUSG00000026390,115.45750583467007,0.20731572111438554,0.11940141004709239,1.736292067510923,0.08251220512005236,0.42519849274338334,Marco,1,120.474538,120.50502399999999,-,120.489781,1_120400545,120474538,120505023.99999999
ENSMUSG00000017002,33.679616116910026,0.2052467648258428,0.06518873555712838,3.148500474379873,0.0016411045696513296,0.09747297404481713,Slpi,2,164.35406999999998,164.389095,-,164.3715825,2_164348452,164354069.99999997,164389095
ENSMUSG00000027907,92.04183491562108,0.20421766622088455,0.04610711555666455,4.429200650600358,9.458299549533874e-6,0.007624065029749269,S100a11,3,93.520488,93.526287,+,93.5233875,3_93649724,93520488,93526287
ENSMUSG00000075225,281.14599274403025,-0.20237583090887754,0.05296723243979147,-3.820774119903673,1.3303345205696143e-4,0.039396430266554754,Ccdc162,10,41.538846,41.7093,-,41.624072999999996,10_41628212,41538846,41709300
ENSMUSG00000105474,16.557158551153012,-0.20226300793858432,0.08808782148279132,-2.2961517782352927,0.021667204627250188,NA,RP23-379D24.2,5,145.623085,145.623367,-,145.623226,5_145729503,145623085,145623367
ENSMUSG00000054942,721.7958999287781,-0.20216461169643196,0.06271346464846322,-3.223623711903883,0.0012657960972943054,0.08950271646331713,Fam73a,3,152.27384899999998,152.340407,-,152.30712799999998,3_152308453,152273848.99999997,152340407
ENSMUSG00000028970,86.94600475567411,0.19156624237077224,0.08508822190745885,2.251383776465771,0.02436124077637031,0.277373687069524,Abcb1b,5,8.798147,8.866315,+,8.832231,5_8739185,8798147,8866315
ENSMUSG00000081855,157.06708346608892,0.19033358126833633,0.20448257761473826,0.9308058588098406,0.35195399850890224,0.7084910583612133,Rpl17-ps5,5,22.612627999999997,22.613182,-,22.612904999999998,5_22462213,22612627.999999996,22613182
ENSMUSG00000054793,64.87076522247897,-0.18839701116648433,0.07029735915458112,-2.680001260818443,0.007362188288115772,0.18462732184752553,Cadm4,7,24.482022999999998,24.504538999999998,+,24.493280999999996,7_24654149,24482022.999999996,24504538.999999996
ENSMUSG00000092814,1.1206180269219703,0.188190125942981,0.12314189886570576,1.5282379732361815,0.12645346382962788,NA,Gm23638,2,18.129452,18.129576999999998,-,18.1295145,2_18163621,18129452,18129576.999999996
ENSMUSG00000090555,7841.241338056882,-0.18792558305236662,0.100913820031688,-1.8622383236840703,0.0625695047286995,0.3866905043063384,Gm8893,12,103.81785599999999,103.822243,-,103.8200495,12_103826618,103817855.99999999,103822243
ENSMUSG00000022408,86.60669704934598,0.18746274462668955,0.05571552748149293,3.364640937644523,7.664332922793654e-4,0.0771396297187095,Fam83f,15,80.671847,80.70042,+,80.6861335,15_80708009,80671847,80700420
ENSMUSG00000020429,450.32320598324253,-0.18620822656282854,0.07682276448380582,-2.4238678185302884,0.015356193683047734,0.2329229109048302,Igfbp1,11,7.197781999999999,7.202546,+,7.200163999999999,11_7143572,7197781.999999999,7202546
ENSMUSG00000106040,441.0493834344239,-0.18547445518591685,0.12117002250085547,-1.5306958879586523,0.12584457053746176,0.48824884217189857,RP24-443E20.4,5,145.624092,145.633993,-,145.6290425,5_145729503,145624092,145633993
ENSMUSG00000030717,14.497999295251274,0.18510156653397128,0.06737675493493883,2.7472615253244435,0.006009519396211642,NA,Nupr1,7,126.623249,126.630861,-,126.627055,7_126620220,126623249,126630861
ENSMUSG00000107771,25.66015049350111,0.18453977890044682,0.0692187687090779,2.6660367172385837,0.0076751309903158385,NA,RP23-407F20.1,6,133.93158499999998,133.932409,-,133.931997,6_133877928,133931584.99999999,133932409
ENSMUSG00000021908,384.29441520904686,0.1829008288645141,0.13520091859519323,1.3528075901032874,0.1761171073277867,0.5466120891622863,Gm6768,12,119.26093399999999,119.26427199999999,+,119.26260299999998,12_119229858,119260933.99999999,119264271.99999999
ENSMUSG00000094627,39.43487901879129,0.18240437600627815,0.13619554933449024,1.3392829420460801,0.18047857973430126,0.5534636147676,Gm10182,9,22.320314,22.32141,-,22.320861999999998,9_22340451,22320314,22321410
ENSMUSG00000080242,59.66549328072027,0.18213245647748302,0.18529710926893173,0.9829211971847026,0.32564622435552926,0.6881868243168816,Gm15487,6,37.806086,37.80655,+,37.806318000000005,6_37804977,37806086,37806550
ENSMUSG00000083863,1431.4410842598252,-0.1810970799607605,0.1552574566729869,-1.1664308036566555,0.24344031029543933,0.6166152634675788,Gm13341,2,22.587291,22.587961999999997,-,22.5876265,2_22638617,22587291,22587961.999999996
ENSMUSG00000038418,210.1019064854098,0.1804043718527081,0.08793231647158942,2.0516276505805013,0.04020586285942,0.32598071186902977,Egr1,18,34.859823,34.864984,+,34.8624035,18_34860924,34859823,34864984
