gene.id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,chr,start,end,strand,middle,nearest.marker.id,start.true,end.true
ENSMUSG00000094793,2884.5361500096674,-0.9418768290466304,0.12344481264843447,-7.629942553593201,2.3485834271815163e-14,2.07346365428311e-12,Mup12,4,60.737382999999994,60.741325999999994,-,60.73935449999999,4_60682384,60737382.99999999,60741325.99999999
ENSMUSG00000092008,5755.331259244037,-0.8857220463089441,0.1000262674075346,-8.854894511861252,8.37629908739656e-19,2.3922940700680377e-16,Cyp2c69,19,39.842659999999995,39.886769,-,39.8647145,19_39861304,39842659.99999999,39886769
ENSMUSG00000034634,172.19069526274848,0.8605721455255072,0.10170345928066747,8.46158185387398,2.637748246752264e-17,5.16207331889418e-15,Ly6d,15,74.762056,74.76362,-,74.762838,15_74823991,74762056,74763620
ENSMUSG00000082884,1055.7577673940684,0.8339005203974376,0.17325196727721884,4.8132239622025255,1.4851469057597712e-6,1.2955865503292147e-5,Gm13339,2,22.590024,22.590533,-,22.5902785,2_22638617,22590024,22590533
ENSMUSG00000041653,800.1030127722036,0.8276806774281981,0.08970128001712473,9.22707766567196,2.7811594780152103e-20,1.2318388505514377e-17,Pnpla3,15,84.167816,84.189512,+,84.178664,15_84172320,84167816,84189512
ENSMUSG00000074373,100.0643690325181,0.8206502524755283,0.14876089051876126,5.516572599247988,3.4567472843130745e-8,5.217111389769167e-7,Gm10680,9,46.242621,46.243528999999995,-,46.243075,9_46385725,46242621,46243528.99999999
ENSMUSG00000027577,228.20264139883562,0.7969717565651288,0.08754754390070002,9.10330228645919,8.762611582142357e-20,3.4296861732505185e-17,Chrna4,2,181.01837999999998,181.043546,-,181.03096299999999,2_181081025,181018379.99999997,181043546
ENSMUSG00000069917,3208.442660827306,0.7835608097988007,0.07763260056905118,10.093192860412474,5.9211600897562465e-24,7.725140197101984e-21,Hba-a2,11,32.296489,32.297298,+,32.296893499999996,11_32207213,32296489,32297297.999999996
ENSMUSG00000073940,755.3777993245535,0.7452305237488813,0.07650863966402117,9.740475415867735,2.0260425460850735e-22,1.5126611030355893e-19,Hbb-bt,7,103.812524,103.81399599999999,-,103.81325999999999,7_103735454,103812524,103813995.99999999
ENSMUSG00000012187,91.94832576012922,0.7418785096682715,0.07977874606544794,9.299199928006615,1.4150645409366484e-20,7.552585381671876e-18,Mogat1,1,78.51099099999999,78.538173,+,78.524582,1_78557964,78510990.99999999,78538173
ENSMUSG00000021208,114.39056886305869,0.7323237480097807,0.08685589032719496,8.43148052769988,3.413190948621627e-17,6.464143244954055e-15,Ifi27l2b,12,103.450898,103.457223,-,103.4540605,12_103467293,103450898,103457223
ENSMUSG00000030278,136.20441182718687,0.716527077653734,0.08473684378779564,8.455909444162387,2.7692045964200777e-17,5.330491864125337e-15,Cidec,6,113.424634,113.43576,-,113.43019699999999,6_113471419,113424634,113435760
ENSMUSG00000052305,4354.803834867677,0.713102453934676,0.07149248278696071,9.974509572700649,1.9707261383357276e-23,1.9283555263615094e-20,Hbb-bs,7,103.826534,103.828096,-,103.827315,7_103735454,103826534,103828096
ENSMUSG00000096449,108.6648734340331,0.700717288384284,0.13677368840550477,5.123187775025902,3.004129081302414e-7,3.3340721807800516e-6,Gm4076,13,85.126999,85.12751399999999,-,85.12725649999999,13_85006538,85126999,85127513.99999999
ENSMUSG00000084923,22.240336753775516,-0.6466972800373001,0.07718512848323918,-8.378521779331248,5.3596566214871654e-17,9.682013546077277e-15,Gm15611,5,8.998402,8.999668999999999,-,8.9990355,5_8943414,8998402,8999668.999999998
ENSMUSG00000083287,147.7679549237737,-0.6367938206865115,0.10624475341010947,-5.993649570896541,2.0518327019175812e-9,4.624303183477205e-8,Gm13502,2,53.696121,53.696804,-,53.696462499999996,2_53595821,53696121,53696804
ENSMUSG00000017723,166.3322931649756,0.6310012930798558,0.056974590572370344,11.075135191684167,1.6562998509075808e-28,4.862068212339204e-25,Wfdc2,2,164.562413,164.56851,+,164.5654615,2_164605360,164562413,164568510
ENSMUSG00000063590,355.3591509917959,-0.6267436469550715,0.08997265173087463,-6.965935035790446,3.262296676706175e-12,1.6094910747010045e-10,Slc22a28,19,8.062209,8.131981999999999,-,8.097095499999998,19_8202756,8062208.999999999,8131981.999999999
ENSMUSG00000037071,158813.71551437402,0.6169689297325104,0.07265662585795045,8.491571449226589,2.0386153395329045e-17,4.127141606344028e-15,Scd1,19,44.394451,44.407709,-,44.40107999999999,19_44317612,44394451,44407709
ENSMUSG00000004552,503.46678617058916,0.6079805415267953,0.09076574306459421,6.698348088156131,2.107886902314645e-11,8.361759461817081e-10,Ctse,1,131.638306,131.675505,+,131.6569055,1_131565298,131638306,131675504.99999999
ENSMUSG00000092075,1108.6000313192305,-0.5862972102607953,0.09733338893000541,-6.023598034610862,1.7058170634246722e-9,3.919707232628669e-8,Serpina4-ps1,12,104.080649,104.08672399999999,+,104.0836865,12_104088712,104080649,104086723.99999999
ENSMUSG00000012123,74.77132959951237,0.5786960420414836,0.06967595784793373,8.305534073955254,9.937144890182016e-17,1.5557594040068965e-14,Aim1l,4,134.065912,134.092504,+,134.079208,4_133904386,134065912,134092503.99999999
ENSMUSG00000040583,1786.6362882963804,0.5542490111345034,0.09829145958001805,5.638831832416682,1.7120763416599188e-8,2.843451259373517e-7,Cyp2b13,7,26.061494999999997,26.096196,+,26.0788455,7_26187465,26061494.999999996,26096196
ENSMUSG00000097451,98.62527553084061,-0.5495764490142981,0.0852058106414108,-6.4499879160494595,1.1185907014241852e-10,3.648470004478551e-9,Rian,12,109.60394,109.661716,+,109.63282799999999,12_109624606,109603940,109661716
ENSMUSG00000021268,147.27843750541112,-0.5487582818869772,0.08942527709237508,-6.136500771701467,8.4358954590877e-10,2.072840085981336e-8,Meg3,12,109.541001,109.571726,+,109.5563635,12_109559911,109541001,109571726
ENSMUSG00000052133,145.09428462797675,0.5473010458026502,0.06808811482774715,8.038128933180786,9.122062056750087e-16,1.1042397182511291e-13,Sema5b,16,35.541145,35.664732,+,35.6029385,16_35623634,35541145,35664732
ENSMUSG00000037440,1191.9683031679117,0.5409784030458401,0.06161334292668659,8.78021508570875,1.6316233224782043e-18,4.257449122786461e-16,Vnn1,10,23.894688,23.905343,+,23.9000155,10_23900162,23894688,23905343
