ID,edf,ref.df,pval,r2,padj,symbol,chr,start.true,end.true
ENSMUSG00000000001,4.363083100614157,5.437472715254818,0.0054961535808655815,0.08867082078958632,0.028858491328644858,Gnai3,3,108107279.99999999,108146146
ENSMUSG00000000049,2.6580825124209295,3.3727312618249843,0.001903983292018574,0.08708296563432294,0.013408333042384325,Apoh,11,108343353.99999999,108414396
ENSMUSG00000000056,7.379953219453699,8.37552091270563,0.0010631536440697809,0.1031028133872538,0.008643525561542935,Narf,11,121237253,121255856
ENSMUSG00000000058,1.0000000003848786,1.0000000007697634,0.21433683962061256,0.05869481740695781,0.36513942013732975,Cav2,6,17281185,17289115
ENSMUSG00000000078,1.0000000006206542,1.000000001241305,1.6023768992956544e-5,0.0925915340507979,3.7264579053387307e-4,Klf6,13,5861489,5870393
ENSMUSG00000000085,1.730629973951978,2.199121654881114,0.2886514657537257,0.061409968820232974,0.4420389980914636,Scmh1,4,120405280.99999999,120530186
ENSMUSG00000000088,1.0000000003437912,1.0000000006404335,0.6321892446552183,0.05604783001747404,0.7190879293810134,Cox5a,9,57521232,57532424
ENSMUSG00000000093,1.0000000003283627,1.0000000006500165,0.7066081339087023,0.05587130917173799,0.7807824684074058,Tbx2,11,85832551,85841948
ENSMUSG00000000120,1.3346308895383119,1.5992291368316858,0.6017904715240656,0.05757150573395253,0.693192167752795,Ngfr,11,95568818,95587735
ENSMUSG00000000127,1.413066206454644,1.7298239258725978,0.008175887143143434,0.07498754670925323,0.03843390500248448,Fer,17,63896018,64139494
ENSMUSG00000000131,1.1733673042951214,1.3279656615122406,0.14389367819344923,0.061312701660383495,0.28607093080208595,Xpo6,7,126101715,126200500.99999999
ENSMUSG00000000134,1.0000000322544973,1.0000000645089735,0.026026833801069404,0.06554048800921897,0.08733836845996444,Tfe3,X,7762560,7775201.999999999
ENSMUSG00000000142,1.000000000391683,1.0000000008377918,0.2530761709123247,0.05822022665725435,0.40298753329988013,Axin2,11,108920349,108950783
ENSMUSG00000000148,1.2289154597766707,1.4270171760679922,0.9331239625795313,0.0561032270125027,0.9550910568879543,Brat1,5,140705010.99999997,140719379
ENSMUSG00000000149,1.0000000007909091,1.000000001581822,0.5700839836826059,0.056236476907672084,0.6701180931295516,Gna12,5,140758408,140830431
ENSMUSG00000000154,1.7737554659636423,2.2713831914776614,0.4510251788012608,0.05980758665482211,0.5738233826988052,Slc22a18,7,143473720.99999997,143499334
ENSMUSG00000000159,1.0000000007767331,1.000000001553468,0.08499561036511333,0.061559259328264115,0.19674909806739196,Igsf5,16,96361668,96525579.99999999
ENSMUSG00000000168,1.000000001526473,1.0000000030529466,5.974379945496988e-4,0.07909217916699929,0.005689885662378084,Dlat,9,50634633,50659780
ENSMUSG00000000171,1.0000000020947173,1.0000000041980943,0.9462301426461439,0.055594311406239716,0.9625942448078779,Sdhd,9,50596337.99999999,50603849
ENSMUSG00000000184,1.0000000009831893,1.0000000019301467,0.08592368833656006,0.061524015988268066,0.19820013685233565,Ccnd2,6,127125161.99999999,127152193
ENSMUSG00000000194,1.0000000009652141,1.0000000019302557,0.8190143177113014,0.055690882481521875,0.8685199551551447,Gpr107,2,31152316,31218774.999999996
ENSMUSG00000000247,1.2701125226722398,1.4956987587237747,0.06701710298358415,0.06496772629876979,0.1638559975148757,Lhx2,2,38339281,38369733
ENSMUSG00000000266,1.0000000004497476,1.0000000008995698,0.09592114286168335,0.06116853732297478,0.21410969388768605,Mid2,X,140664598.99999997,140767714.99999997
ENSMUSG00000000275,1.0000000003988698,1.0000000007950653,0.9539208825149352,0.05559186825525053,0.9684475964618631,Trim25,11,88999376,89020293
ENSMUSG00000000278,1.000000000521613,1.0000000009041228,0.011317989704034359,0.06845514979605172,0.04859457381562834,Scpep1,11,88924020,88955464.99999999
ENSMUSG00000000282,1.0000000003917044,1.0000000007794625,0.15096548390120912,0.05974241141112957,0.2942796957138579,Mnt,11,74830919.99999999,74845725
ENSMUSG00000000290,2.9266845725254207,3.713429865730536,0.01344018117406831,0.07988539806567341,0.053546538542104824,Itgb2,10,77530251.99999999,77565708
ENSMUSG00000000295,1.000000000715484,1.0000000013910912,0.37652971503342236,0.057163552337718304,0.5183168661473259,Hddc2,10,31313381.999999996,31328204
ENSMUSG00000000296,1.3186819924220572,1.5784744747540682,0.361889249207619,0.05918404045717629,0.5040240239660432,Tpd52l1,10,31332379.999999996,31445921
ENSMUSG00000000301,1.5329235411929687,1.9082475352201218,0.7631235574136253,0.057086686308917445,0.8223314196267514,Pemt,11,59970614,60046488.99999999
ENSMUSG00000000303,3.8829992428227493,4.8453656592928285,0,0.142520438923061,0,Cdh1,8,106603350.99999999,106670245.99999999
ENSMUSG00000000325,1.000000000388095,1.0000000008076873,0.2874010715408711,0.057868659342739326,0.44147630037000163,Arvcf,16,18348181.999999996,18407076
ENSMUSG00000000326,3.7132962176564255,4.645437447535469,0.0035917062240062303,0.090235550615416,0.021388953552223124,Comt,16,18406886,18426852
ENSMUSG00000000339,1.0000000009224823,1.000000001844373,0.43841455022664666,0.05679729220668861,0.5634338185111322,Rtca,3,116488963,116508208
ENSMUSG00000000340,1.0000000007864205,1.0000000015040909,7.028268235176327e-7,0.10464192640466807,3.198530947172303e-5,Dbt,3,116513070,116549980.99999999
ENSMUSG00000000346,1.0000000012881476,1.000000002576284,0.021298008569777427,0.06623584535673055,0.07525798081193437,Dazap2,15,100615628,100620730.99999999
ENSMUSG00000000355,1.0000000003868321,1.0000000007736574,0.03496368987259685,0.06452595711062226,0.10563048299878203,Mcts1,X,38600578,38613426
ENSMUSG00000000374,1.000000000393923,1.000000000673159,0.05231705300290418,0.06316158733210053,0.13948493081010024,Trappc10,10,78186725,78244642
ENSMUSG00000000378,1.3760495639163712,1.6763567702406286,0.8585698664202106,0.05653222266498825,0.8983123134413561,Ccm2,11,6546887,6596743.999999999
ENSMUSG00000000384,1.0000000004164462,1.0000000008317103,0.2455788687007966,0.05830491058757259,0.39526253988151666,Tbrg4,11,6615597.999999999,6626067
ENSMUSG00000000385,1.000000000557582,1.0000000011826053,0.00237399075804251,0.07405831282346653,0.01587468560791394,Tmprss2,16,97564684,97611195
