gene,phenotype,chromosome,start,end,bf_common,bf_rare,huge,position,logHugeScore,range
"APOE","CHOL","19",45409048,45412650,20,348,6960,"19 : 45409048 - 45412650",8.847934753328465,"Compelling"
"APOH","CHOL","17",64208151,64252643,350,2.5793578689474796,902.7752541316179,"17 : 64208151 - 64252643",6.805473634434373,"Compelling"
"LDLR","CHOL","19",11200094,11244496,20,38.14028375372254,762.8056750744508,"19 : 11200094 - 11244496",6.637003313492048,"Compelling"
"ABCA6","CHOL","17",67074843,67138036,350,2.049725937444157,717.4040781054549,"17 : 67074843 - 67138036",6.575639249644968,"Compelling"
"VARS1","CHOL","6",31745295,31763529,20,33.44643048671248,668.9286097342496,"6 : 31745295 - 31763529",6.505677342527156,"Compelling"
"FGB","CHOL","4",155484163,155493959,350,1.101431200032123,385.500920011243,"4 : 155484163 - 155493959",5.954543579540726,"Compelling"
"SLC27A5","CHOL","19",58990879,59023780,350,1.0472560896194547,366.53963136680915,"19 : 58990879 - 59023780",5.90410665017855,"Compelling"
"PLSCR4","CHOL","3",145910122,145968966,350,1.030944089882117,360.8304314587409,"3 : 145910122 - 145968966",5.8884081290295205,"Compelling"
"USP8","CHOL","15",50716577,50806618,350,1.0170181979776263,355.9563692921692,"15 : 50716577 - 50806618",5.874808165173101,"Compelling"
"HBB","CHOL","11",5246694,5250625,350,1.003871627542073,351.3550696397255,"11 : 5246694 - 5250625",5.861797306564209,"Compelling"
"JAK2","CHOL","9",4984390,5129948,350,1.003233399612683,351.13168986443907,"9 : 4984390 - 5129948",5.86116133790062,"Compelling"
"MYCT1","CHOL","6",153019032,153045704,350,1.0021661634779802,350.75815721729305,"6 : 153019032 - 153045704",5.860096975211908,"Compelling"
"GPCPD1","CHOL","20",5525085,5591652,350,1.0014617695714918,350.5116193500221,"20 : 5525085 - 5591652",5.8593938567098265,"Compelling"
"PNLIPRP2","CHOL","10",118380465,118404654,350,1.0002651529671038,350.09280353848635,"10 : 118380465 - 118404654",5.858198272303728,"Compelling"
"PNLIPRP2","CHOL","10",118380465,118404654,350,1.0002651529671038,350.09280353848635,"10 : 118380465 - 118404654",5.858198272303728,"Compelling"
"ABHD12","CHOL","20",25275378,25371471,350,1.0001904682806204,350.06666389821714,"20 : 25275378 - 25371471",5.8581236046273,"Compelling"
"RAB21","CHOL","12",72148643,72194066,350,1.0000743350712047,350.0260172749216,"12 : 72148643 - 72194066",5.85800748679195,"Compelling"
"MKRN1","CHOL","7",140152833,140179336,350,1.000017106247842,350.00598718674473,"7 : 140152833 - 140179336",5.857950260584992,"Compelling"
"CD300LG","CHOL","17",41924516,41941007,350,1,350,"17 : 41924516 - 41941007",5.857933154483459,"Compelling"
"ASCC3","CHOL","6",100956070,101329248,350,1,350,"6 : 100956070 - 101329248",5.857933154483459,"Compelling"
"AXL","CHOL","19",41725128,41767671,350,1,350,"19 : 41725128 - 41767671",5.857933154483459,"Compelling"
"GLP2R","CHOL","17",9725523,9795416,350,1,350,"17 : 9725523 - 9795416",5.857933154483459,"Compelling"
"ZNF217","CHOL","20",52183610,52226446,350,1,350,"20 : 52183610 - 52226446",5.857933154483459,"Compelling"
"OR10Z1","CHOL","1",158575058,158582304,350,1,350,"1 : 158575058 - 158582304",5.857933154483459,"Compelling"
"KIF13B","CHOL","8",28924795,29120641,350,1,350,"8 : 28924795 - 29120641",5.857933154483459,"Compelling"
"ZNF177","CHOL","19",9473689,9493293,350,1,350,"19 : 9473689 - 9493293",5.857933154483459,"Compelling"
"LRBA","CHOL","4",151185587,151936879,350,1,350,"4 : 151185587 - 151936879",5.857933154483459,"Compelling"
"WASHC4","CHOL","12",105501102,105562908,350,1,350,"12 : 105501102 - 105562908",5.857933154483459,"Compelling"
"CLEC4M","CHOL","19",7828096,7834491,350,1,350,"19 : 7828096 - 7834491",5.857933154483459,"Compelling"
"NPHS1","CHOL","19",36316274,36360189,350,1,350,"19 : 36316274 - 36360189",5.857933154483459,"Compelling"
"HNF1A","CHOL","12",121416346,121440315,350,1,350,"12 : 121416346 - 121440315",5.857933154483459,"Compelling"
"EPHA1","CHOL","7",143087382,143105949,350,1,350,"7 : 143087382 - 143105949",5.857933154483459,"Compelling"
"SF1","CHOL","11",64532078,64546258,350,1,350,"11 : 64532078 - 64546258",5.857933154483459,"Compelling"
"MTARC1","CHOL","1",220959694,220993001,350,1,350,"1 : 220959694 - 220993001",5.857933154483459,"Compelling"
"SLC39A8","CHOL","4",103172237,103352415,350,1,350,"4 : 103172237 - 103352415",5.857933154483459,"Compelling"
"CRACR2B","CHOL","11",826144,831991,350,1,350,"11 : 826144 - 831991",5.857933154483459,"Compelling"
"FGFR4","CHOL","5",176513906,176525145,350,1,350,"5 : 176513906 - 176525145",5.857933154483459,"Compelling"
"GOLGA2","CHOL","9",131018108,131038305,350,1,350,"9 : 131018108 - 131038305",5.857933154483459,"Compelling"
"CDC25A","CHOL","3",48198636,48229907,350,1,350,"3 : 48198636 - 48229907",5.857933154483459,"Compelling"
"TMEM176A","CHOL","7",150497491,150502206,350,1,350,"7 : 150497491 - 150502206",5.857933154483459,"Compelling"
"ZNF772","CHOL","19",57978031,57988938,350,1,350,"19 : 57978031 - 57988938",5.857933154483459,"Compelling"
"SERPINA1","CHOL","14",94843084,94857030,350,1,350,"14 : 94843084 - 94857030",5.857933154483459,"Compelling"
"TRIM5","CHOL","11",5684425,5959849,350,1,350,"11 : 5684425 - 5959849",5.857933154483459,"Compelling"
"MUC2","CHOL","11",1074875,1104416,350,1,350,"11 : 1074875 - 1104416",5.857933154483459,"Compelling"
"RORC","CHOL","1",151778547,151804321,350,1,350,"1 : 151778547 - 151804321",5.857933154483459,"Compelling"
"CPS1","CHOL","2",211342406,211543831,350,1,350,"2 : 211342406 - 211543831",5.857933154483459,"Compelling"
"UAP1L1","CHOL","9",139971969,139978991,350,1,350,"9 : 139971969 - 139978991",5.857933154483459,"Compelling"
"GOLGA3","CHOL","12",133345488,133405729,350,1,350,"12 : 133345488 - 133405729",5.857933154483459,"Compelling"
"TNFRSF13B","CHOL","17",16833130,16875432,350,1,350,"17 : 16833130 - 16875432",5.857933154483459,"Compelling"
"GYS2","CHOL","12",21689041,21757781,350,1,350,"12 : 21689041 - 21757781",5.857933154483459,"Compelling"
"ITGAM","CHOL","16",31271288,31344213,350,1,350,"16 : 31271288 - 31344213",5.857933154483459,"Compelling"
"HDHD5","CHOL","22",17618401,17646177,350,1,350,"22 : 17618401 - 17646177",5.857933154483459,"Compelling"
"POR","CHOL","7",75528518,75616173,350,1,350,"7 : 75528518 - 75616173",5.857933154483459,"Compelling"
"A1CF","CHOL","10",52559169,52645435,350,1,350,"10 : 52559169 - 52645435",5.857933154483459,"Compelling"
"SNX8","CHOL","7",2291405,2393953,350,1,350,"7 : 2291405 - 2393953",5.857933154483459,"Compelling"
"PCSK6","CHOL","15",101829989,102065405,350,1,350,"15 : 101829989 - 102065405",5.857933154483459,"Compelling"
"DPP3","CHOL","11",66247484,66277128,350,1,350,"11 : 66247484 - 66277128",5.857933154483459,"Compelling"
"ADH1B","CHOL","4",100226128,100242558,350,1,350,"4 : 100226128 - 100242558",5.857933154483459,"Compelling"
"ZNF800","CHOL","7",126986844,127071978,350,1,350,"7 : 126986844 - 127071978",5.857933154483459,"Compelling"
"GNA12","CHOL","7",2767739,2883942,350,1,350,"7 : 2767739 - 2883942",5.857933154483459,"Compelling"
"RBM47","CHOL","4",40425284,40632892,350,1,350,"4 : 40425284 - 40632892",5.857933154483459,"Compelling"
"ELOA","CHOL","1",24069938,24088549,350,1,350,"1 : 24069938 - 24088549",5.857933154483459,"Compelling"
"GOSR2","CHOL","17",45000441,45052890,350,1,350,"17 : 45000441 - 45052890",5.857933154483459,"Compelling"
"HNF4A","CHOL","20",42984339,43061485,350,1,350,"20 : 42984339 - 43061485",5.857933154483459,"Compelling"
"GPAM","CHOL","10",113909623,113975135,350,1,350,"10 : 113909623 - 113975135",5.857933154483459,"Compelling"
"NPC1L1","CHOL","7",44552134,44580929,45,4.39414931693478,197.73671926206512,"7 : 44552134 - 44580929",5.286936445161458,"Extreme"
"SLC22A1","CHOL","6",160542847,160579750,45,3.2516108608639613,146.32248873887826,"6 : 160542847 - 160579750",4.985813012814931,"Extreme"
"PCSK9","CHOL","1",55505120,55530525,20,5.987738083379611,119.75476166759222,"1 : 55505120 - 55530525",4.785445998904175,"Extreme"
"FUT2","CHOL","19",49199228,49209208,45,2.2558208072224026,101.51193632500812,"19 : 49199228 - 49209208",4.620176390828755,"Extreme"
"ABCA1","CHOL","9",107543287,107690436,45,1.815986424415695,81.71938909870627,"9 : 107543287 - 107690436",4.403291294379461,"Very strong"
"COL18A1","CHOL","21",46825080,46933634,45,1.2873285034084478,57.92978265338015,"21 : 46825080 - 46933634",4.059231633217844,"Very strong"
"DNAH3","CHOL","16",20944433,21170762,45,1.121052445383567,50.44736004226052,"16 : 20944433 - 21170762",3.920930417229469,"Very strong"
"ZSWIM5","CHOL","1",45482071,45771881,45,1.1194494186157578,50.3752238377091,"1 : 45482071 - 45771881",3.9194994636854434,"Very strong"
"SESN2","CHOL","1",28586029,28609002,45,1.119179139166265,50.36306126248193,"1 : 28586029 - 28609002",3.9192579949077255,"Very strong"
